id;key_safe_number;access_details;created_date;last_updated_date;client_id;has_extra_data
1;Borders;enhance Direct;2021-01-21T05:56:59;2021-01-20T14:28:43;99958;true
2;Profit-focused Generic Plastic Car hack;Borders Rustic;2021-01-20T16:30:59;2021-01-21T06:03:26;55234;false
3;Licensed Computer;Poland multi-byte disintermediate;2021-01-20T21:57:57;2021-01-20T19:32:42;65413;false
4;portals quantifying eyeballs;California Electronics;2021-01-20T14:39:08;2021-01-20T21:16:10;22106;false
5;tan Executive Bedfordshire;next generation;2021-01-20T15:10:19;2021-01-20T23:14:53;16232;true
6;Handcrafted;turquoise Clothing Configuration;2021-01-20T18:09:14;2021-01-21T08:20:02;92601;false
7;deposit Research;Licensed Granite Hat;2021-01-21T06:05:41;2021-01-21T06:55:12;57647;true
8;connect;Consultant;2021-01-21T07:53:41;2021-01-20T11:50:17;71702;false
9;generate Glens envisioneer;withdrawal Virgin Islands, U.S. Shoes;2021-01-20T22:21:01;2021-01-20T16:01:42;34836;false
10;engineer Borders stable;payment Kuwait Directives;2021-01-20T18:49:34;2021-01-20T11:36:01;90394;false
