id;name;address;telephone;contact_name;branch_email;photo;photo_content_type;photo_url;created_date;last_updated_date;has_extra_data
1;protocol neural-net;Savings Account Guinea-Bissau;674-112-6973 x9902;utilize;model;../fake-data/blob/hipster.png;image/png;Rustic Granite Chips;2021-01-13T12:01:32;2021-01-13T20:42:21;true
2;Representative;HTTP;1-619-746-2519 x79838;Danish Krone Extension;payment Diverse Maryland;../fake-data/blob/hipster.png;image/png;content;2021-01-14T01:02:01;2021-01-13T15:35:07;true
3;deposit;Web;893-127-1637;complexity Customer;empower Missouri;../fake-data/blob/hipster.png;image/png;Personal Loan Account;2021-01-13T13:05:51;2021-01-14T07:22:23;true
4;innovate;fault-tolerant Argentina Incredible Frozen Soap;492.344.7465;Azerbaijan;multi-byte auxiliary;../fake-data/blob/hipster.png;image/png;New Zealand Dollar invoice Ameliorated;2021-01-14T02:02:56;2021-01-13T17:28:28;true
5;Nepalese Rupee Assistant metrics;bluetooth quantifying;(774) 893-8812 x7634;navigating Baby Architect;interface Analyst driver;../fake-data/blob/hipster.png;image/png;Automated;2021-01-13T15:03:25;2021-01-13T14:17:34;true
6;strategic Central;metrics Borders programming;995-041-9094 x0578;Danish Krone foreground;navigating optical Serbian Dinar;../fake-data/blob/hipster.png;image/png;Legacy pixel;2021-01-13T11:21:12;2021-01-13T19:10:46;false
7;Alley port;Granite Pants neural;162-594-9359 x79597;Profound revolutionary Planner;AGP Architect Baby;../fake-data/blob/hipster.png;image/png;navigate Bedfordshire Cheese;2021-01-14T03:29:29;2021-01-13T13:55:04;true
8;Fully-configurable;interface;892.667.3029;disintermediate leading-edge Auto Loan Account;bifurcated open-source;../fake-data/blob/hipster.png;image/png;User-friendly Generic Granite Mouse;2021-01-13T14:49:59;2021-01-14T03:38:01;true
9;Creative withdrawal;e-tailers;352-660-5776;Outdoors;Games Rustic Chips;../fake-data/blob/hipster.png;image/png;Global;2021-01-13T13:14:44;2021-01-13T23:52:17;true
10;heuristic generate;Uganda Shilling Borders;881-785-9546;Cambridgeshire Liechtenstein;Cross-group Sleek Wooden;../fake-data/blob/hipster.png;image/png;B2B connecting;2021-01-14T09:37:16;2021-01-13T22:29:08;false
