id;relation_type;reason;count;last_updated_date;client_id
1;EMPLOYEE_VISITED_CLIENT_BEFORE;COM Chair;9220;2020-11-30T17:15:21;81868
2;EMPLOYEE_VISITED_CLIENT_BEFORE;Tasty users magnetic;38524;2020-11-30T15:12:06;83678
3;CLIENT_PREFERRED_EMPLOYEE;purple Pakistan;29004;2020-11-30T12:16:36;4719
4;CLIENT_PREFERRED_EMPLOYEE;payment Pizza;22186;2020-11-29T18:11:43;37642
5;EMPLOYEE_VISITED_CLIENT_BEFORE;mobile system engine Connecticut;48885;2020-11-30T08:38:57;77720
6;CLIENT_PREFERRED_EMPLOYEE;Shoes workforce;91163;2020-11-29T20:38:42;78267
7;EMPLOYEE_VISITED_CLIENT_BEFORE;synthesizing;10940;2020-11-29T23:36:50;80698
8;EMPLOYEE_VISITED_CLIENT_BEFORE;Hryvnia Wisconsin Assimilated;20840;2020-11-30T10:30:01;67063
9;CLIENT_UNFAVOURS_EMPLOYEE;Awesome Wooden Fish transparent;50847;2020-11-30T12:24:50;10867
10;EMPLOYEE_VISITED_CLIENT_BEFORE;niches Burg;33849;2020-11-30T07:49:09;73183
