id;reason;count;created_date;last_updated_date;client_id;has_extra_data
1;Cambridgeshire circuit;89734;2021-01-20T17:42:29;2021-01-20T16:32:38;96583;false
2;compelling azure;39736;2021-01-21T02:51:43;2021-01-20T13:49:22;24067;true
3;maroon Personal Loan Account;95964;2021-01-21T08:25:58;2021-01-20T22:47:11;2779;false
4;Awesome Savings Account Fork;75415;2021-01-20T13:06:29;2021-01-21T00:44:02;47341;false
5;24/7 encryption Architect;76499;2021-01-20T22:47:03;2021-01-21T07:40:15;24627;false
6;Computers Codes specifically reserved for testing purposes;99245;2021-01-20T14:49:47;2021-01-21T04:44:28;55334;true
7;solution-oriented visualize;54996;2021-01-21T03:56:18;2021-01-21T06:58:52;62699;true
8;Borders Arizona;46583;2021-01-21T04:57:52;2021-01-20T15:59:19;29574;false
9;Mouse Garden Bedfordshire;50346;2021-01-20T14:52:16;2021-01-20T13:51:04;30861;false
10;deposit Identity;51538;2021-01-21T02:39:29;2021-01-21T00:03:05;77143;false
