id;document_name;document_number;document_type;document_status;note;issued_date;expiry_date;uploaded_date;document_file;document_file_content_type;document_file_url;created_date;last_updated_date;client_id;has_extra_data
1;Georgia;Fully-configurable;OTHER;ACTIVE;turn-key Granite;2021-01-20;2021-01-21;2021-01-21T07:06:02;../fake-data/blob/hipster.png;image/png;e-commerce microchip;2021-01-21T04:29:01;2021-01-21T06:02:44;50221;false
2;Poland back-end Senior;SMS synthesize Licensed;OTHER;ARCHIVED;Hawaii;2021-01-21;2021-01-20;2021-01-21T01:51:30;../fake-data/blob/hipster.png;image/png;deposit Human;2021-01-21T00:12:30;2021-01-20T15:34:53;91039;false
3;sky blue parallelism deposit;Senior bandwidth communities;PROCEDURE;EXPIRED;grow Operative;2021-01-20;2021-01-20;2021-01-20T13:40:07;../fake-data/blob/hipster.png;image/png;Practical architectures purple;2021-01-20T23:31:07;2021-01-21T01:37:21;29927;false
4;payment;Steel protocol circuit;PROCEDURE;ACTIVE;Intranet core Customer;2021-01-20;2021-01-21;2021-01-21T05:55:05;../fake-data/blob/hipster.png;image/png;District;2021-01-20T16:33:45;2021-01-20T19:05:21;27654;false
5;Square Cotton;Health optical benchmark;FORM;ARCHIVED;Devolved payment intranet;2021-01-20;2021-01-20;2021-01-21T07:36:13;../fake-data/blob/hipster.png;image/png;lavender lime;2021-01-20T11:07:43;2021-01-20T20:30:31;93083;false
6;invoice Tajikistan background;sticky;FORM;ARCHIVED;mobile Washington;2021-01-20;2021-01-20;2021-01-21T07:48:18;../fake-data/blob/hipster.png;image/png;Kids;2021-01-21T01:04:38;2021-01-20T19:46:49;69527;true
7;Cambridgeshire;Small Cotton Towels Facilitator;POLICY;ACTIVE;Developer;2021-01-20;2021-01-21;2021-01-21T07:11:50;../fake-data/blob/hipster.png;image/png;Ergonomic Operations Unbranded Concrete Salad;2021-01-21T09:10:12;2021-01-20T23:17:56;54614;false
8;deposit Customer;circuit olive;PROCEDURE;ARCHIVED;Corporate;2021-01-20;2021-01-20;2021-01-20T14:06:46;../fake-data/blob/hipster.png;image/png;Bulgarian Lev JBOD Identity;2021-01-20T12:09:41;2021-01-20T20:46:25;99705;false
9;functionalities application;Personal Loan Account;PROCEDURE;EXPIRED;Rubber bluetooth Computers;2021-01-21;2021-01-21;2021-01-20T19:56:56;../fake-data/blob/hipster.png;image/png;Incredible Fresh Sausages;2021-01-21T07:07:11;2021-01-21T02:35:15;44034;false
10;Refined hard drive;Investment Account;OTHER;ARCHIVED;Checking Account Trail Home Loan Account;2021-01-21;2021-01-21;2021-01-20T12:13:27;../fake-data/blob/hipster.png;image/png;generate Mouse Future;2021-01-20T16:37:33;2021-01-20T15:37:37;6308;false
