id;country_name;country_iso_code;country_flag_url;country_calling_code;country_tel_digit_length;created_date;last_updated_date;has_extra_data
1;content backing up Usability;Divisi;Berkshire virtual;Solomon Islands Dollar interface Gorgeous Steel Chair;54381;2021-01-21T01:40:08;2021-01-21T09:14:45;true
2;encoding Uganda even-keeled;Operat;Auto Loan Account Bahamian Dollar;Persistent Plastic open-source;35355;2021-01-21T02:26:30;2021-01-21T07:27:13;false
3;deposit;Direct;back up cutting-edge Cotton;explicit;98741;2021-01-20T13:49:04;2021-01-20T17:57:56;true
4;Gorgeous;Credit;Refined Rubber Fish;Enterprise-wide;81870;2021-01-20T11:36:26;2021-01-20T11:42:07;false
5;maximized transmitter;Movies;engineer;Small invoice;83553;2021-01-21T03:24:54;2021-01-21T02:46:04;true
6;Granite digital Tuna;Assura;Practical Metal Computer;Mississippi Mauritania;12204;2021-01-21T02:37:44;2021-01-20T21:25:22;false
7;implement Vision-oriented engineer;neutra;Synchronised Sleek;New Jersey;63524;2021-01-20T21:39:47;2021-01-20T15:13:12;false
8;Poland Grocery Ergonomic;Intern;SDR connect Director;Cotton deposit withdrawal;98485;2021-01-21T02:55:20;2021-01-20T23:21:41;false
9;deposit Guatemala Director;Jewele;Keyboard;Focused;12800;2021-01-21T07:51:52;2021-01-20T14:54:44;true
10;Fantastic interface;web se;plug-and-play PNG;overriding program;48850;2021-01-20T21:18:50;2021-01-20T19:32:57;false
