id;currency;currency_iso_code;currency_symbol;currency_logo;currency_logo_content_type;currency_logo_url;has_extra_data
1;architectures Frozen Virginia;wir;NT$;../fake-data/blob/hipster.png;image/png;invoice Orchestrator Ville;false
2;Liberian Dollar;pro;£;../fake-data/blob/hipster.png;image/png;SDD Communications Frozen;false
3;Borders Officer;com;$;../fake-data/blob/hipster.png;image/png;Money Market Account Personal Loan Account Hong Kong Dollar;true
4;user-facing Beauty Massachusetts;cle;$U;../fake-data/blob/hipster.png;image/png;Cheese open-source;true
5;Generic Avon;Int;$;../fake-data/blob/hipster.png;image/png;Bedfordshire;false
6;Electronics;mid;﷼;../fake-data/blob/hipster.png;image/png;Guinea Franc;true
7;Incredible Steel Bike Future Shoes;Clo;₨;../fake-data/blob/hipster.png;image/png;Applications optical web-enabled;false
8;bypassing;Mar;$;../fake-data/blob/hipster.png;image/png;Licensed;true
9;Soft Sleek hacking;com;£;../fake-data/blob/hipster.png;image/png;optimize;true
10;Sausages communities Unbranded;pro;$;../fake-data/blob/hipster.png;image/png;Cheese Bike;true
