id;document_type_title;document_type_description;created_date;last_updated_date;has_extra_data
1;definition Bedfordshire;Iraqi Dinar Berkshire Customer;2021-01-14T06:02:20;2021-01-13T12:18:05;true
2;AI Music;withdrawal magenta;2021-01-13T12:23:53;2021-01-13T17:23:26;false
3;Buckinghamshire back-end;Bhutan intranet Communications;2021-01-14T09:33:21;2021-01-13T19:16:32;true
4;Mouse;Lodge hierarchy Mauritania;2021-01-14T03:49:36;2021-01-14T11:00:27;false
5;aggregate monetize;infomediaries Savings Account;2021-01-14T00:45:27;2021-01-13T22:48:15;false
6;e-tailers Down-sized streamline;Tasty Rubber Bike Rubber logistical;2021-01-14T02:03:07;2021-01-13T21:35:18;true
7;Junction orchestration;Light 24/365 attitude;2021-01-13T14:48:32;2021-01-13T23:36:42;false
8;Intuitive Central Berkshire;Home Loan Account;2021-01-14T03:22:40;2021-01-14T10:22:58;true
9;Sleek Steel Hat Functionality;Garden SSL Refined Cotton Soap;2021-01-14T11:22:41;2021-01-13T14:29:51;true
10;sky blue Music;Cotton Valleys;2021-01-14T04:48:23;2021-01-14T06:58:44;true
