id;available_for_work;available_monday;available_tuesday;available_wednesday;available_thursday;available_friday;available_saturday;available_sunday;preferred_shift;has_extra_data;last_updated_date;client_id
1;true;true;true;true;false;false;true;true;AVAILABLE_ANY_SHIFT;false;2021-01-13T15:27:59;82484
2;true;true;false;true;false;false;true;true;NIGHTS_SHIFT;true;2021-01-14T02:37:47;58516
3;true;true;false;false;true;false;false;false;AVAILABLE_ANY_SHIFT;true;2021-01-14T10:09:49;61993
4;false;false;true;false;true;false;true;false;AFTERNOON_SHIFT;false;2021-01-13T18:51:15;40936
5;true;true;true;true;true;false;false;false;NIGHTS_SHIFT;true;2021-01-13T21:40:02;90113
6;true;true;true;false;true;false;true;false;EVENING_SHIFT;true;2021-01-14T04:26:49;35461
7;false;true;false;false;true;true;false;false;EVENING_SHIFT;true;2021-01-13T19:20:41;38309
8;false;true;false;false;true;true;false;true;AFTERNOON_SHIFT;false;2021-01-14T04:50:34;22642
9;true;false;true;false;false;false;true;true;AFTERNOON_SHIFT;false;2021-01-13T18:37:43;79409
10;false;false;false;false;false;false;false;false;EVENING_SHIFT;false;2021-01-14T05:21:43;89927
