id;designation;description;designation_date;client_id;has_extra_data
1;Balanced Frozen Frozen;Fantastic Concrete Hat Solutions;Analyst Bulgarian Lev olive;12056;true
2;functionalities cyan;Sleek;driver collaboration engage;23045;false
3;program connecting;withdrawal Berkshire incubate;Senior Assistant schemas;64011;false
4;Mobility;Saint Helena Grocery redundant;hacking Marketing copying;31124;false
5;TCP Zambian Kwacha;Fantastic Wooden Table Sports;Rubber;52413;true
6;transition River Peru;1080p Gorgeous Granite Sausages;Beauty;19588;true
7;Investment Account Denmark Refined;Rustic;Forward;61575;false
8;Analyst bypassing;Hryvnia;Assurance frictionless;30693;true
9;Palestinian Territory Jewelery orchid;regional Configurable content;challenge;57046;true
10;Personal Loan Account Fall Innovative;National index;transmit Regional;2433;false
