id;latitude;longitude;created_date;last_updated_date;client_id;has_extra_data
1;Pizza Way;Directives;2021-01-21T09:10:11;2021-01-21T04:33:14;29409;false
2;Movies Steel;capacitor synergistic;2021-01-21T05:35:26;2021-01-21T10:00:21;48762;true
3;mindshare Arkansas;turn-key innovate Web;2021-01-20T16:06:25;2021-01-21T02:48:22;99635;true
4;Upgradable;applications Decentralized 24/365;2021-01-20T13:51:50;2021-01-21T04:39:59;54155;false
5;Kansas;bypass;2021-01-21T00:01:50;2021-01-21T03:37:19;22335;false
6;Sharable input Credit Card Account;CSS;2021-01-20T20:19:46;2021-01-20T10:55:48;49613;true
7;Chair SMTP encoding;deliverables;2021-01-20T18:11:28;2021-01-20T18:19:55;72350;false
8;Brunei Dollar;Intelligent;2021-01-20T15:46:10;2021-01-20T18:24:26;86010;true
9;applications;Motorway;2021-01-20T20:43:36;2021-01-20T20:25:23;44764;false
10;Baby;architectures bypassing viral;2021-01-20T13:41:42;2021-01-20T12:42:25;86682;true
