id;gender;marital_status;religion;created_date;last_updated_date;client_id;has_extra_data
1;FEMALE;DIVORCED;CHRISTIANITY;2021-01-14T07:31:51;2021-01-13T19:55:01;80709;true
2;FEMALE;MARRIED;CHRISTIANITY;2021-01-13T12:37:01;2021-01-13T21:32:45;31098;true
3;OTHER;DIVORCED;HINDU;2021-01-13T19:52:01;2021-01-13T21:35:06;15572;true
4;FEMALE;OTHER;MUSLIM;2021-01-14T09:46:46;2021-01-14T01:59:01;8884;true
5;FEMALE;DIVORCED;JEWISH;2021-01-14T08:34:52;2021-01-13T11:39:26;87917;true
6;OTHER;OTHER;ATHEIST;2021-01-13T22:47:17;2021-01-14T06:30:48;51566;true
7;MALE;SINGLE;CHRISTIANITY;2021-01-13T17:12:31;2021-01-13T18:55:44;5120;false
8;OTHER;OTHER;HINDU;2021-01-13T23:55:51;2021-01-14T09:55:34;28455;true
9;OTHER;DIVORCED;MUSLIM;2021-01-13T15:15:30;2021-01-14T02:15:34;50698;true
10;MALE;OTHER;ATHEIST;2021-01-14T08:20:23;2021-01-14T00:24:57;17078;false
