id;title;body;notification_date;image;image_content_type;image_url;sender_id;receiver_id;created_date;last_updated_date;client_id;has_extra_data
1;Rustic bleeding-edge;green 1080p Metal;2021-01-14T05:01:55;../fake-data/blob/hipster.png;image/png;generate CSS Granite;75609;83833;2021-01-13T15:11:43;2021-01-14T03:04:23;83699;false
2;Tasty Wooden Towels invoice;Tuna invoice Credit Card Account;2021-01-13T19:28:49;../fake-data/blob/hipster.png;image/png;District Sports;77198;64245;2021-01-13T12:05:33;2021-01-14T01:28:29;9988;false
3;Specialist;Officer solutions compressing;2021-01-14T09:40:06;../fake-data/blob/hipster.png;image/png;Graphical User Interface;72741;64519;2021-01-14T01:49:16;2021-01-13T15:22:32;27915;false
4;Fresh SMTP Investment Account;Terrace;2021-01-14T03:48:13;../fake-data/blob/hipster.png;image/png;reintermediate Health Berkshire;41976;86785;2021-01-14T05:00:00;2021-01-14T07:11:00;42331;true
5;Usability 3rd generation;generate Spur Gorgeous Steel Bacon;2021-01-13T11:56:38;../fake-data/blob/hipster.png;image/png;Games;31675;99829;2021-01-14T10:15:07;2021-01-14T05:18:55;71519;false
6;wireless Engineer Home Loan Account;back up bluetooth;2021-01-14T00:39:48;../fake-data/blob/hipster.png;image/png;Myanmar Fantastic Granite Hat bandwidth;77836;15501;2021-01-14T01:42:59;2021-01-14T08:23:24;64228;true
7;Chief Money Market Account;Borders relationships Fantastic;2021-01-13T18:52:22;../fake-data/blob/hipster.png;image/png;cross-platform circuit Kwanza;27984;11896;2021-01-13T23:00:40;2021-01-13T17:43:48;86144;true
8;Arizona bottom-line Awesome Soft Shirt;override;2021-01-13T17:39:57;../fake-data/blob/hipster.png;image/png;GB Analyst;2419;88127;2021-01-14T05:40:03;2021-01-13T20:15:25;64094;false
9;networks regional;deposit partnerships;2021-01-14T03:42:32;../fake-data/blob/hipster.png;image/png;Small Metal Ball matrix;9093;97386;2021-01-14T01:39:17;2021-01-13T18:32:16;15842;true
10;Comoro Franc;ivory Configurable;2021-01-13T13:14:48;../fake-data/blob/hipster.png;image/png;payment;83618;39446;2021-01-13T18:47:24;2021-01-14T07:53:34;91255;false
