id;payment_date;pay_period;total_hours_worked;gross_pay;net_pay;total_tax;payroll_status;created_date;last_updated_date;client_id;has_extra_data
1;2021-01-14T05:31:04;sensor;60766;85085;74105;32475;PAID;2021-01-14T01:33:22;2021-01-13T11:59:35;984;false
2;2021-01-13T19:29:41;virtual Pataca Texas;33241;68273;8497;35281;PAID;2021-01-13T11:36:44;2021-01-13T22:38:57;29025;true
3;2021-01-14T04:03:01;Fresh;94537;86079;99279;80175;CREATED;2021-01-14T05:46:04;2021-01-13T13:49:29;88400;true
4;2021-01-14T03:24:43;Bacon invoice haptic;38193;29508;38716;99738;PAID;2021-01-13T20:28:53;2021-01-13T18:00:14;58474;false
5;2021-01-13T19:37:37;Generic Rhode Island;47139;5096;8572;35579;PROCESSING;2021-01-14T04:11:29;2021-01-14T10:41:51;78442;true
6;2021-01-13T11:44:08;Hat;16432;4193;95077;45511;CREATED;2021-01-13T15:43:02;2021-01-14T06:18:38;57910;false
7;2021-01-14T07:24:20;Chips;64931;6286;99168;39703;PROCESSING;2021-01-13T16:42:57;2021-01-14T10:04:15;82139;false
8;2021-01-14T06:54:35;withdrawal;30443;22784;88905;11852;PAID;2021-01-13T14:46:44;2021-01-13T15:07:22;48701;true
9;2021-01-13T22:55:39;driver connecting;23838;49329;27316;78105;CREATED;2021-01-13T12:57:06;2021-01-14T06:25:13;4203;false
10;2021-01-13T23:01:53;Data Nevada synthesize;93213;94978;24050;89051;PAID;2021-01-13T21:47:51;2021-01-13T13:16:30;16215;true
