id;power_of_attorney_consent;health_and_welfare;health_and_welfare_name;property_and_fin_affairs;property_and_fin_affairs_name;created_date;last_updated_date;client_id;has_extra_data
1;true;false;Checking Account 1080p;false;cross-platform;2021-01-21T03:04:17;2021-01-21T01:05:21;29938;false
2;true;false;HDD Innovative Lake;false;Brand Checking Account;2021-01-20T12:51:32;2021-01-21T08:43:03;23474;false
3;true;false;Toys secured line orchestration;true;Uganda gold;2021-01-20T18:44:22;2021-01-21T04:54:27;55440;false
4;false;false;budgetary management;true;Keyboard Buckinghamshire International;2021-01-20T16:03:57;2021-01-20T16:58:25;35863;false
5;true;false;Grenada;false;Rapids enterprise AGP;2021-01-21T05:39:45;2021-01-21T06:14:55;5538;false
6;true;false;Florida Future portal;false;Handcrafted Concrete Car Borders;2021-01-20T22:38:18;2021-01-21T08:47:51;65867;true
7;true;false;applications;true;Seychelles;2021-01-20T12:10:57;2021-01-20T14:45:24;33066;true
8;false;false;Administrator reinvent;true;Assurance;2021-01-21T01:49:21;2021-01-20T22:20:18;24499;false
9;true;false;index;true;Licensed matrix;2021-01-21T09:48:55;2021-01-20T21:40:56;11814;true
10;true;true;intranet TCP;false;Colorado;2021-01-21T03:37:19;2021-01-20T21:30:53;38480;false
