id;relation_type;description;client_id;has_extra_data
1;quantify Car;directional vortals;68951;false
2;radical;1080p Practical Plastic Bike;80529;false
3;extensible program wireless;calculating functionalities success;52751;true
4;e-tailers;Down-sized web-readiness withdrawal;22965;false
5;expedite;morph Enhanced;96866;false
6;Delaware quantify Multi-layered;Investment Account;2957;false
7;Buckinghamshire;Ergonomic;77068;false
8;global pixel;Forward Legacy;69138;true
9;recontextualize Internal;access;3684;false
10;Functionality;Industrial Iraqi Dinar;67293;true
