id;title;service_description;service_hourly_rate;client_id;created_date;last_updated_date;has_extra_data
1;Cotton Chief iterate;Stand-alone;Antigua and Barbuda Analyst;12293;2021-01-20T22:42:57;2021-01-21T08:29:23;false
2;Representative;Cambridgeshire;Vista Louisiana;54593;2021-01-20T15:32:59;2021-01-20T18:55:55;true
3;frame Point;archive portals deposit;virtual application transmitting;81184;2021-01-20T14:22:40;2021-01-20T18:40:09;false
4;deploy;system wireless;Ireland Wyoming;96453;2021-01-20T19:46:51;2021-01-21T02:11:02;false
5;Cheese;Future lime Car;Frozen monitor Lead;24560;2021-01-21T01:15:51;2021-01-21T09:16:31;true
6;Group Usability Naira;Nevada Buckinghamshire Home;Balanced system;54869;2021-01-20T20:26:31;2021-01-21T08:56:08;false
7;Dynamic;pixel;cohesive;33546;2021-01-20T19:49:44;2021-01-21T04:45:19;true
8;syndicate;Antarctica (the territory South of 60 deg S) Isle;global;81624;2021-01-20T19:38:32;2021-01-20T20:03:37;true
9;deposit Cook Islands Wooden;grid-enabled invoice Jewelery;ROI Bedfordshire;69766;2021-01-20T21:31:52;2021-01-21T08:47:39;true
10;Brunei Darussalam THX uniform;US Dollar Plastic;digital disintermediate;6384;2021-01-21T02:21:30;2021-01-21T06:32:11;true
