id;field_name;field_value;default_value;setting_enabled;created_date;updated_date;client_id;has_extra_data
1;extend Movies;Optional Sleek Cotton Salad;Roads Security;true;2021-01-20T15:07:00;2021-01-21T09:30:43;67351;true
2;Avon Creative;Quality Salad;Hryvnia connect;false;2021-01-20T18:10:32;2021-01-20T21:37:12;61252;true
3;Andorra;efficient experiences;quantify Canadian Dollar revolutionary;true;2021-01-21T01:37:03;2021-01-20T14:43:21;63272;false
4;Persistent Money Market Account;Borders deposit;Down-sized Direct;true;2021-01-21T05:31:51;2021-01-21T04:40:33;21424;true
5;action-items Principal New Taiwan Dollar;Berkshire deposit;impactful;true;2021-01-21T07:41:59;2021-01-21T09:54:15;29561;false
6;SQL;invoice reboot SAS;copying;false;2021-01-20T20:48:38;2021-01-20T18:20:40;70268;false
7;bluetooth circuit Niger;Customer well-modulated Latvia;software Electronics Investment Account;true;2021-01-20T20:57:11;2021-01-21T08:40:54;91887;false
8;Outdoors Program JSON;repurpose parsing;bus;false;2021-01-20T18:19:48;2021-01-21T06:50:04;74823;false
9;enhance AGP implementation;SDD orange;Money Market Account redundant;true;2021-01-21T09:44:17;2021-01-20T12:06:19;6641;false
10;Central Yen deposit;card;productivity Mauritius calculating;true;2021-01-21T01:33:33;2021-01-21T04:41:00;96217;false
