id;document_name;document_code;document_number;document_type;document_status;note;issued_date;expiry_date;uploaded_date;document_file;document_file_content_type;document_file_url;last_updated_date;tenant_id
1;Money Market Account Tuna bandwidth;asymmetric Home Loan Account;pixel firmware compress;POLICY;ACTIVE;AI Table;2020-11-18;2020-11-19;2020-11-18T12:08:37;../fake-data/blob/hipster.png;image/png;transmitting;2020-11-18T07:41:09;15908
2;protocol neural COM;Savings Account engage directional;SMTP;FORM;ARCHIVED;eco-centric Steel array;2020-11-18;2020-11-18;2020-11-19T00:10:06;../fake-data/blob/hipster.png;image/png;Table overriding New Leu;2020-11-18T21:29:11;12929
3;Table Customer;analyzing Triple-buffered;SMS Assurance Metal;PROCEDURE;ARCHIVED;Enterprise-wide Future-proofed;2020-11-18;2020-11-18;2020-11-18T08:24:31;../fake-data/blob/hipster.png;image/png;Group;2020-11-19T04:25:50;76221
4;hack;Practical;Fundamental Agent;POLICY;ARCHIVED;Berkshire Money Market Account Cuba;2020-11-19;2020-11-18;2020-11-19T05:12:22;../fake-data/blob/hipster.png;image/png;Open-architected;2020-11-18T11:45:40;27313
5;Oklahoma Money Market Account superstructure;Western Sahara Operations;lime;OTHER;ARCHIVED;engineer;2020-11-19;2020-11-19;2020-11-18T21:40:33;../fake-data/blob/hipster.png;image/png;maximize users website;2020-11-18T21:06:15;89148
6;Ergonomic 6th generation;Coordinator Nebraska;Investment Account Buckinghamshire radical;POLICY;ARCHIVED;Mobility;2020-11-18;2020-11-18;2020-11-18T19:44:08;../fake-data/blob/hipster.png;image/png;Bulgarian Lev project Computer;2020-11-18T11:00:22;49652
7;blue IB;XSS deposit;matrix;PROCEDURE;ACTIVE;HTTP;2020-11-19;2020-11-19;2020-11-18T08:30:56;../fake-data/blob/hipster.png;image/png;Solutions payment;2020-11-18T22:18:21;93853
8;Generic program payment;Handmade Wooden Shoes initiatives;Architect Practical Rubber Keyboard Tasty;FORM;ARCHIVED;withdrawal Lao People's Democratic Republic;2020-11-18;2020-11-18;2020-11-18T13:45:52;../fake-data/blob/hipster.png;image/png;circuit;2020-11-18T18:38:47;48471
9;e-business wireless;info-mediaries Electronics Montana;whiteboard;OTHER;ARCHIVED;Bhutan Executive Licensed Granite Fish;2020-11-19;2020-11-19;2020-11-18T15:28:47;../fake-data/blob/hipster.png;image/png;EXE primary;2020-11-19T00:59:35;63811
10;Way object-oriented;online;Rustic Iceland Krona Producer;OTHER;EXPIRED;Security Health override;2020-11-18;2020-11-19;2020-11-18T19:19:53;../fake-data/blob/hipster.png;image/png;functionalities redundant;2020-11-18T07:59:55;50296
