id;device_name;device_model;registered_date;imei;sim_number;user_started_using_from;device_on_location_from;operating_system;note;owner_entity_id;owner_entity_name;created_date;last_updated_date;client_id;has_extra_data
1;Concrete Innovative;Lead sticky;2021-01-21T00:32:25;program;Generic Fresh Chicken;2021-01-20T12:17:40;2021-01-20T14:36:06;B2C wireless;Uruguay Soft Moldova;15081;Incredible payment;2021-01-21T10:12:13;2021-01-21T01:06:02;6100;true
2;Cape Verde system;generate Quality;2021-01-21T01:44:41;Practical Shirt Garden;New York;2021-01-20T23:38:41;2021-01-20T16:37:56;mobile Springs Intelligent Soft Ball;Mexican Peso Mexican Unidad de Inversion (UDI) Organic;22756;Decentralized;2021-01-21T03:45:44;2021-01-20T18:58:40;35985;false
3;Meadow Vista;Fully-configurable seize;2021-01-21T05:01:19;Licensed Frozen Pizza discrete Computers;generating;2021-01-21T08:11:30;2021-01-20T15:58:52;Trace;deposit;71958;Facilitator payment;2021-01-21T10:22:11;2021-01-20T22:34:20;3937;true
4;Handmade;panel;2021-01-21T08:03:52;Jewelery Lead Unbranded Fresh Salad;Forward Usability;2021-01-21T06:52:38;2021-01-21T07:48:52;info-mediaries function;pink hacking;94553;Direct;2021-01-20T17:59:55;2021-01-21T02:29:37;15396;true
5;Home Loan Account action-items;CSS;2021-01-20T20:55:17;niches;Visionary Bike THX;2021-01-21T07:53:31;2021-01-20T21:58:38;Metal Bahraini Dinar Granite;invoice turquoise;5352;open-source metrics;2021-01-21T09:59:32;2021-01-20T17:28:44;78540;true
6;incentivize bi-directional Practical Soft Sausages;calculate Texas Brand;2021-01-20T15:06:35;European Unit of Account 9(E.U.A.-9) Internal Cuban Peso Peso Convertible;Metrics Mount;2021-01-21T02:15:34;2021-01-21T05:17:54;6th generation Ergonomic;payment;97211;cultivate;2021-01-20T13:02:31;2021-01-21T09:33:59;7398;false
7;Nebraska;Program;2021-01-20T20:18:12;reintermediate back-end calculate;JBOD;2021-01-21T06:04:41;2021-01-20T12:38:50;sexy United Kingdom Pants;Trinidad and Tobago;65784;Vermont Security;2021-01-20T16:19:17;2021-01-20T12:25:01;67492;false
8;Alabama Orchestrator payment;Digitized Credit Card Account;2021-01-21T05:22:07;Somoni Unbranded Metal Car Licensed;California Vermont;2021-01-20T19:00:00;2021-01-20T19:56:42;Wooden synthesize payment;Croatia;48408;reboot bandwidth;2021-01-21T10:43:16;2021-01-21T05:13:01;1856;true
9;Licensed;bypass Bike eyeballs;2021-01-20T16:24:12;Kansas;e-tailers;2021-01-20T14:06:57;2021-01-21T01:33:07;Awesome Rubber Pants;frictionless methodical Table;76277;green global engage;2021-01-21T08:33:51;2021-01-21T08:53:40;32516;false
10;Roads;Savings Account programming;2021-01-20T12:00:24;viral withdrawal;turquoise Interactions;2021-01-20T12:12:09;2021-01-21T01:52:45;orchid Multi-tiered;hierarchy 1080p Auto Loan Account;26350;TCP;2021-01-20T16:50:29;2021-01-20T17:32:49;29689;true
