id;travel_mode;distance_to_destination;time_to_destination;actual_distance_required;actual_time_required;travel_status;created_date;last_updated_date;client_id;has_extra_data
1;OTHER;42191;50163;76471;76475;BOOKED;2021-01-14T02:55:17;2021-01-13T20:37:14;96339;true
2;BUS;32441;56250;91509;50442;CANCELLED;2021-01-14T04:06:41;2021-01-14T03:55:00;47002;true
3;CAR;38756;68683;27809;90778;ARRIVED;2021-01-13T16:46:26;2021-01-13T12:50:52;87189;false
4;CAR;97395;37837;40906;52200;BOOKED;2021-01-14T10:14:59;2021-01-14T01:33:13;82733;true
5;CAR;33110;17963;9357;47365;BOOKED;2021-01-13T19:33:22;2021-01-13T20:07:19;99232;true
6;WALK;80983;35206;82813;81198;BOOKED;2021-01-13T16:56:39;2021-01-14T04:39:16;67946;true
7;WALK;33822;1674;52483;51908;ENROUTE;2021-01-14T05:48:32;2021-01-13T18:15:04;34174;true
8;SHIP;3322;45973;49184;10506;ENROUTE;2021-01-13T21:26:56;2021-01-14T02:18:52;70423;true
9;TRAIN;75895;28757;22826;57964;ARRIVED;2021-01-14T06:08:18;2021-01-13T21:27:23;96526;true
10;CAR;40755;76106;68389;86790;ARRIVED;2021-01-13T21:28:54;2021-01-14T04:03:40;12726;true
